endpoint,group,algorithm,MSE,CI95_low,CI95_high,interval_scope
Y_sel,B0,ridge,0.001656433652575186,0.0013676126665469696,0.001999029095646452,descriptive fixed OOF percentile; unadjusted
Y_sel,B0,hgb,0.0010601154963353224,0.0008617880337914815,0.0013030022202134084,descriptive fixed OOF percentile; unadjusted
Y_sel,B0,best,0.0010601154963353224,0.0008617880337914815,0.0013030022202134084,descriptive fixed OOF percentile; unadjusted
Y_sel,Bd,ridge,0.0013217617038185077,0.0010950965339491065,0.0015871712370235222,descriptive fixed OOF percentile; unadjusted
Y_sel,Bd,hgb,0.0009673246605425401,0.0007850559431583635,0.0011899250728134756,descriptive fixed OOF percentile; unadjusted
Y_sel,Bd,best,0.0009673246605425401,0.0007850559431583635,0.0011899250728134756,descriptive fixed OOF percentile; unadjusted
Y_sel,P_A1,ridge,0.0016603324324074701,0.0013705227775172454,0.0020056842175250147,descriptive fixed OOF percentile; unadjusted
Y_sel,P_A1,hgb,0.001049380733601395,0.0008559001149380625,0.0012863666532623337,descriptive fixed OOF percentile; unadjusted
Y_sel,P_A1,best,0.001049380733601395,0.0008559001149380625,0.0012863666532623337,descriptive fixed OOF percentile; unadjusted
Y_sel,P_A2,ridge,0.0016512671180812894,0.001360616930099384,0.001997563713797498,descriptive fixed OOF percentile; unadjusted
Y_sel,P_A2,hgb,0.0010627041555777432,0.0008574580862981049,0.001309060601401317,descriptive fixed OOF percentile; unadjusted
Y_sel,P_A2,best,0.0010627041555777432,0.0008574580862981049,0.001309060601401317,descriptive fixed OOF percentile; unadjusted
Y_sel,P_A3,ridge,0.0016584089494129847,0.001368245194333683,0.002000482291394915,descriptive fixed OOF percentile; unadjusted
Y_sel,P_A3,hgb,0.0010401693838064177,0.0008574844302407945,0.0012691491216820418,descriptive fixed OOF percentile; unadjusted
Y_sel,P_A3,best,0.0010401693838064177,0.0008574844302407945,0.0012691491216820418,descriptive fixed OOF percentile; unadjusted
